CHALLANGE PRICE REPORT
REQ_ENTER_DATE,RATE_ENTER_DATE,REQUEST_NO,SOURCE_BRANCH,SOURCE_BRANCH_NAME,DESTINATION_BRANCH,DESTINATION_BRANCH_NAME,VENDOR_CODE,VENDOR_OWNER_NAME,VENDOR_TRANSPORT_NAME,VENDOR_BID,CHALLENGE_PRICE,CHALLENGE_FLAG,HIRING_NO,HIRING_AMOUNT,HIRED_VENDOR_CODE,HIRED_VENDOR_OWNER_NAME,HIRED_VENDOR_TRANSPORT_NAME
03-JAN-26,03-JAN-26,61202514002471,6697,BHARTI AIRTEL-FARRUK NAGAR,103,AMBALA HUB-HARYANA,64870000839,,Delhi jaipur road lines,11500,10000,Accept,69292515044578,10000,64870000839,,Delhi jaipur road lines
03-JAN-26,03-JAN-26,13932514001072,1393,KHARKHODA  SONIPAT,814,DANKUNI KOLKATA-WEST BANGAL,13900000001,MANOJ,SUPER INDIA TRANSPORT COMPANY,77000,76000,Accept,69292515044665,76000,13900000001,MANOJ,SUPER INDIA TRANSPORT COMPANY
03-JAN-26,03-JAN-26,13382514001037,1338,HODAL HUB HARYANA,4002,PATNA - BIHAR,64870004345,,Hiteshu freight carrier ,65000,63000,Accept,69292515044625,63000,64870004345,,Hiteshu freight carrier 
03-JAN-26,03-JAN-26,13282514001419,1328,BINOLA HUB-HARYANA,1352,DADRI-UTTAR PRADESH,64870000839,,Delhi jaipur road lines,9500,8000,Accept,69292515044602,8000,64870000839,,Delhi jaipur road lines
03-JAN-26,03-JAN-26,35012514000630,3501,INDORE-MADHYA PRADESH,1616,RAJAMUNDRY-TELANGANA,35010000128,SHREE DHAN ROADLINES,SHREE DHAN ROADLINES,110000,103000,Accept,69292515044597,103000,35010000128,SHREE DHAN ROADLINES,SHREE DHAN ROADLINES
03-JAN-26,03-JAN-26,13932514001073,1393,KHARKHODA  SONIPAT,1701,JAIPUR-RAJASTHAN,64870000839,,Delhi jaipur road lines,16000,13000,Accept,69292515044599,13000,64870000839,,Delhi jaipur road lines
03-JAN-26,03-JAN-26,13222514000313,1322,MANESAR-HARYANA,2210,UNNAO-UTTAR PRADESH,64870003036,,Shree Rocky Logistics ,33000,32000,Accept,69292515044633,32000,64870003036,,Shree Rocky Logistics 
03-JAN-26,03-JAN-26,13062514001862,1310,NOIDA I-UTTAR PRADESH,301,AHMEDABAD-GUJARAT,13900000290,BITTU,HARI CARGO MOVER,23000,22000,Accept,69292515044575,22000,13900000290,BITTU,HARI CARGO MOVER
03-JAN-26,03-JAN-26,13122514000465,1312,GREATER NOIDA-UTTAR PRADESH,1001,CHENNAI SVCHATRAM-TAMILNADU,64870002202,JAI LAXMI TRANSPORT,JAI LAXMI TRANSPORT,77500,76000,Accept,69292515044640,76000,64870002202,JAI LAXMI TRANSPORT,JAI LAXMI TRANSPORT
03-JAN-26,03-JAN-26,21042514000528,2104,VASAI MUMBAI-MAHARASTRA,1328,BINOLA HUB-HARYANA,64870000133,Can Pack Logistics,Can Pack Logistics,58000,57000,Accept,69292515044643,57000,64870000133,Can Pack Logistics,Can Pack Logistics
03-JAN-26,03-JAN-26,17012514001177,1701,JAIPUR-RAJASTHAN,1352,DADRI-UTTAR PRADESH,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,15000,13500,Accept,69292515044590,13500,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
03-JAN-26,03-JAN-26,13062514001859,1721,KESHWANA RAJASTHAN,4006,KATHMANDU - NEPAL,64870002817,,CHB CARRIER,108000,105000,Accept,69292515044551,105000,64870002817,,CHB CARRIER
03-JAN-26,03-JAN-26,12022514001679,1202,VAPI-GUJARAT,201,AURANGABAD WALUJ-MAHARASTRA,64870004080,,CHOUDHARY FREIGHT CARRIER,33000,32000,Accept,69292515044652,32000,64870004080,,CHOUDHARY FREIGHT CARRIER
03-JAN-26,03-JAN-26,35082514000375,3508,DEWAS-MADHYA PRADESH,523,DHARWAD-KARNATAKA,35010000128,SHREE DHAN ROADLINES,SHREE DHAN ROADLINES,62000,61500,Accept,69292515044671,61500,35010000128,SHREE DHAN ROADLINES,SHREE DHAN ROADLINES
03-JAN-26,03-JAN-26,13092514002030,1360,NARELA-DELHI,1393,KHARKHODA  SONIPAT,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,7000,5500,Not Accept,69292515046092,5500,64870000978,VINOD MALIK,JAI SHREE KRISHNA TEMPO SERVICES
03-JAN-26,03-JAN-26,17212514000239,1721,KESHWANA RAJASTHAN,2855,MAHALUNGE NEW WH DELIVERY,64870002259,,MAHADEV GOLDEN TRANSPORT COMPANY ,64000,62000,Accept,69292515044634,62000,64870002259,,MAHADEV GOLDEN TRANSPORT COMPANY 
03-JAN-26,03-JAN-26,1152514001587,1921,RAJPURA,2501,NAGPUR,64870003750,,Bhumika container services ,60000,58000,NOT RES,69292515045041,58000,64870003750,,Bhumika container services 
03-JAN-26,05-JAN-26,13382514001039,1338,HODAL HUB HARYANA,103,AMBALA HUB-HARYANA,64870000839,,Delhi jaipur road lines,19000,17000,Accept,69292515044645,17000,64870000839,,Delhi jaipur road lines
03-JAN-26,05-JAN-26,21172514001976,2117,MUMBAI HUB-MAHARASTRA,2501,NAGPUR,21170000405,SANDEEP,RK GOLDEN TRANSPORT COMPANY,32000,31500,Accept,69292515044620,31500,21170000405,SANDEEP,RK GOLDEN TRANSPORT COMPANY
03-JAN-26,03-JAN-26,30102514000394,3010,BAWAL-HARYANA,2404,NASIK GONDE IGATPURI-MAHARASTRA,64870003568,,SIDDHI DATRI LOGISTICS,45000,41000,Accept,69292515044588,41000,64870003568,,SIDDHI DATRI LOGISTICS
04-JAN-26,05-JAN-26,13522514000706,1352,DADRI-UTTAR PRADESH,1601,HYDERABAD-TELANGANA,64870001375,,MH LOGISTICS,72000,69500,Accept,69292515044745,69500,64870001375,,MH LOGISTICS
05-JAN-26,06-JAN-26,13412514000148,1341,BAWANA-DELHI,1328,BINOLA HUB-HARYANA,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,7000,6500,Accept,69292515044910,6500,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
05-JAN-26,05-JAN-26,13012514000175,1301,OKHLA-DELHI,4003,ROORKEE UTTRAKHAND,64870001073,WASON TEMPO TRANSPORT SERVICE,WASON TEMPO TRANSPORT SERVICE,20000,19000,Accept,69292515044839,19000,64870001073,WASON TEMPO TRANSPORT SERVICE,WASON TEMPO TRANSPORT SERVICE
05-JAN-26,06-JAN-26,1152514001601,103,AMBALA HUB-HARYANA,1602,KANPUR-UTTAR PRADESH,64870002845,,SIMNANI ROAD CARRIER,38000,38000,Accept,69292515044905,38000,64870002845,,SIMNANI ROAD CARRIER
05-JAN-26,05-JAN-26,14092514000213,1409,BAROTA SONIPAT HARYANA,508,PEENYA-KARNATAKA,64870002343,KUSHAL,DS INDIA LOGISTICS,85000,85000,Accept,69292515044810,85000,64870002343,KUSHAL,DS INDIA LOGISTICS
05-JAN-26,06-JAN-26,21042514000532,2105,BHIWANDI-MAHARASTRA,1609,VIJAYWADA,64870003002,,ADHONI ROAD WAYS ,76000,75000,Accept,69292515044938,75000,64870003002,,ADHONI ROAD WAYS 
05-JAN-26,06-JAN-26,13582514000182,1358,KARNAL-HARYANA,1393,KHARKHODA  SONIPAT,64870000839,,Delhi jaipur road lines,9000,8000,Accept,69292515045154,8000,64870000839,,Delhi jaipur road lines
05-JAN-26,05-JAN-26,17012514001181,1701,JAIPUR-RAJASTHAN,2501,NAGPUR,64870003385,,Basant carrier,62000,60000,Accept,69292515044879,60000,64870003385,,Basant carrier
05-JAN-26,06-JAN-26,60742514000094,6074,AIRTEL GSM (UP WEST),2202,AGRA-UTTAR PRADESH,64870003589,,AGREE TRANSPORT COMPANY ,12500,12500,Accept,69292515044851,12500,64870003589,,AGREE TRANSPORT COMPANY 
05-JAN-26,06-JAN-26,17122514000119,1712,KHUSKERA-RAJASTHAN,2207,SAHARANPUR-UTTAR PRADESH,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,16000,14000,Accept,69292515045012,14000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
05-JAN-26,05-JAN-26,13332514000533,1333,HISSAR-HARYANA,503,BOMMANSANDRA-KARNATAKA,64870002918,SHREE SAI ROAD LINES,SHREE SAI ROAD LINES,71500,71000,Accept,,,,,
05-JAN-26,05-JAN-26,13012514000176,1301,OKHLA-DELHI,3101,KOLHAPUR-MAHARASTRA,64870003202,,Indoria Roadways ,50000,46000,Accept,69292515044889,46000,64870003202,,Indoria Roadways 
05-JAN-26,05-JAN-26,32012514000162,3201,VISAKHAPATNAM-A.P,1351,BAHADURGARH-HARYANA,64870001743,,ISHWAR LOGISTICS,67000,65000,Accept,69292515044803,65000,64870001743,,ISHWAR LOGISTICS
06-JAN-26,06-JAN-26,13492514000490,1349,MURTHAL-HARYANA,1393,KHARKHODA  SONIPAT,1309000003,SAGAR TRANSPORT SERVICE,SAGAR TRANSPORT SERVICE,7000,6500,Accept,69292515045164,6500,1309000003,SAGAR TRANSPORT SERVICE,SAGAR TRANSPORT SERVICE
06-JAN-26,06-JAN-26,13092514002039,1309,KUNDLI BORDER SONIPAT-HARYANA,511,BANGLORE HUB-KARNATAKA,64870000054,Delhi Madras Road Carriers,Delhi Madras Road Carriers,148900,145000,Accept,69292515044960,145000,64870000054,Delhi Madras Road Carriers,Delhi Madras Road Carriers
06-JAN-26,06-JAN-26,13522514000717,1352,DADRI-UTTAR PRADESH,1601,HYDERABAD-TELANGANA,64870001375,,MH LOGISTICS,72000,69500,Accept,69292515045148,69500,64870001375,,MH LOGISTICS
06-JAN-26,06-JAN-26,13612514000069,1361,JHAJJAR-HARYANA,103,AMBALA HUB-HARYANA,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,13000,12000,Accept,69292515045017,12000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
06-JAN-26,06-JAN-26,13932514001088,1393,KHARKHODA  SONIPAT,3502,BHOPAL-MADHYA PRADESH,64870000839,,Delhi jaipur road lines,31000,30500,Accept,69292515044995,30500,64870000839,,Delhi jaipur road lines
06-JAN-26,06-JAN-26,17212514000241,1721,KESHWANA RAJASTHAN,103,AMBALA HUB-HARYANA,64870000081,,Rajneesh freight carriers,29000,29000,Accept,69292515044962,29000,64870000081,,Rajneesh freight carriers
06-JAN-26,06-JAN-26,61202514002481,6697,BHARTI AIRTEL-FARRUK NAGAR,1384,MASURI DASNA UTTAR PRADESH,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,8000,8000,Accept,69292515044944,8000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
06-JAN-26,06-JAN-26,24012514000589,2401,NASIK-MAHARASTRA,1001,CHENNAI SVCHATRAM-TAMILNADU,64870004307,,SBR CONTAINER NASHIK,65500,65500,Accept,69292515045111,65500,64870004307,,SBR CONTAINER NASHIK
06-JAN-26,06-JAN-26,13932514001084,1393,KHARKHODA  SONIPAT,1701,JAIPUR-RAJASTHAN,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,15000,13000,Accept,69292515044994,13000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
06-JAN-26,06-JAN-26,5112514002024,529,BIDADI KARNATAKA,301,AHMEDABAD-GUJARAT,5040000217,BANJ,BANJ LOGISTICS,39000,37000,Accept,69292515045020,37000,5040000217,BANJ,BANJ LOGISTICS
06-JAN-26,06-JAN-26,13932514001079,1393,KHARKHODA  SONIPAT,1920,LUDHIANA HUB,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,16000,16000,Accept,69292515045002,16000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
06-JAN-26,06-JAN-26,61202514002480,6697,BHARTI AIRTEL-FARRUK NAGAR,2801,WAGHOLI - MAHARASTRA,64870002932,vinod,Kranti logistics Pvt Ltd,41000,40000,Accept,69292515045022,40000,64870002932,vinod,Kranti logistics Pvt Ltd
06-JAN-26,07-JAN-26,61202514002493,2803,RANJANGAON - MAHARASTRA,802,GUWAHATI-ASSAM,13900000936,QUICK DIGITAL TECHNOLOGIES PVT. LTD.,QUICK DIGITAL TECHNOLOGIES PVT. LTD.,155000,150000,Accept,69292515045161,150000,13900000936,QUICK DIGITAL TECHNOLOGIES PVT. LTD.,QUICK DIGITAL TECHNOLOGIES PVT. LTD.
06-JAN-26,06-JAN-26,13932514001085,1393,KHARKHODA  SONIPAT,1801,LUCKNOW-UTTAR PRADESH,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,30000,27000,NOT RES,69292515045119,30000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
06-JAN-26,06-JAN-26,12022514001698,316,UMERGAON-GUJARAT,1001,CHENNAI SVCHATRAM-TAMILNADU,12020000109,GANPATI,GANPATI TRANSPORT COMPANY,94000,93500,Accept,69292515045257,93500,12020000109,GANPATI,GANPATI TRANSPORT COMPANY
06-JAN-26,06-JAN-26,13282514001430,1328,BINOLA HUB-HARYANA,1920,LUDHIANA HUB,64870000839,,Delhi jaipur road lines,19000,16500,Accept,69292515044991,16500,64870000839,,Delhi jaipur road lines
06-JAN-26,06-JAN-26,60622514000448,6062,RAJPURA-AIRTEL GSM,1302,PANIPAT-HARYANA,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,8000,7000,Accept,69292515045216,7000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
06-JAN-26,06-JAN-26,17352514000087,1410,MUNDKA DELHI,2601,PITHAMPUR-MADHYA PRADESH,64870000839,,Delhi jaipur road lines,27000,26500,Accept,69292515045097,26500,64870000839,,Delhi jaipur road lines
06-JAN-26,06-JAN-26,28012514000248,2801,WAGHOLI - MAHARASTRA,2820,KURKUMBH - MAHARASTRA,28020000238,VISHAL DINKAR WAGHMARE,VISHAL DINKAR WAGHMARE,8500,8000,NOT RES,69292515045013,8500,28020000238,VISHAL DINKAR WAGHMARE,VISHAL DINKAR WAGHMARE
06-JAN-26,07-JAN-26,61202514002488,1601,HYDERABAD-TELANGANA,3201,VISAKHAPATNAM-A.P,64870001749,,Master Cargo Movers,19000,18500,Accept,69292515045076,18500,64870001749,,Master Cargo Movers
06-JAN-26,06-JAN-26,17012514001183,1701,JAIPUR-RAJASTHAN,1370,SURAJPUR G.NOIDA,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,14000,13000,Accept,69292515045040,13000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
07-JAN-26,07-JAN-26,12022514001700,1202,VAPI-GUJARAT,1310,NOIDA I-UTTAR PRADESH,64870002061,,SHREE KRISHNA TEMPO TRANSPORT (VAPI),45000,44000,Accept,69292515045153,44000,64870002061,,SHREE KRISHNA TEMPO TRANSPORT (VAPI)
07-JAN-26,07-JAN-26,13232514000670,1323,BALLABHGARH-HARYANA,1358,KARNAL-HARYANA,64870003064,,ISHWAR TEMPO SERVICE,13000,15500,Accept,69292515046177,15500,64870003064,,ISHWAR TEMPO SERVICE
07-JAN-26,07-JAN-26,21252514000485,2125,RASYANI-RAIGAD,901,COIMBATORE-TAMILNADU,64870001154,TRUCKCENTRAL SOLUTIONS PVT LTD,TRUCKCENTRAL SOLUTIONS PVT LTD,75000,71000,Accept,69292515045312,71000,64870001154,TRUCKCENTRAL SOLUTIONS PVT LTD,TRUCKCENTRAL SOLUTIONS PVT LTD
07-JAN-26,07-JAN-26,12022514001701,1202,VAPI-GUJARAT,1602,KANPUR-UTTAR PRADESH,64870003078,NEW  GREEN ROADWAYS (VAPI),NEW  GREEN ROADWAYS (VAPI),87000,83000,Accept,69292515045262,83000,64870003078,NEW  GREEN ROADWAYS (VAPI),NEW  GREEN ROADWAYS (VAPI)
07-JAN-26,07-JAN-26,13382514001047,1338,HODAL HUB HARYANA,2401,NASIK-MAHARASTRA,64870000133,Can Pack Logistics,Can Pack Logistics,48000,46000,Accept,69292515045179,46000,64870000133,Can Pack Logistics,Can Pack Logistics
07-JAN-26,07-JAN-26,61202514002496,1376,MODINAGAR -UP,4002,PATNA - BIHAR,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,45000,44000,Accept,69292515045237,44000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
07-JAN-26,07-JAN-26,5112514002041,529,BIDADI KARNATAKA,303,ASLALI EXT COUNTER-GUJARAT,5040000220,SATYANARYAN SHARMA,SONU AUTO CARRIER,37000,36000,Accept,69292515045491,36000,5040000220,SATYANARYAN SHARMA,SONU AUTO CARRIER
07-JAN-26,07-JAN-26,69522514000182,6533,LUCKNOW - BHARTI AIRTEL LTD,6533,LUCKNOW - BHARTI AIRTEL LTD,18010000008,GYAN PRAKASH,CHITARGUPTA TRANSPORT COMPANY,5500,5000,Accept,69292515045222,5000,18010000008,GYAN PRAKASH,CHITARGUPTA TRANSPORT COMPANY
07-JAN-26,07-JAN-26,69522514000180,6533,LUCKNOW - BHARTI AIRTEL LTD,6533,LUCKNOW - BHARTI AIRTEL LTD,18010000008,GYAN PRAKASH,CHITARGUPTA TRANSPORT COMPANY,5500,5000,Accept,69292515045218,5000,18010000008,GYAN PRAKASH,CHITARGUPTA TRANSPORT COMPANY
07-JAN-26,07-JAN-26,69842514000219,6984,HYDERABAD AIRTEL,3202,SRIKAKULAM - A.P,64870001749,,Master Cargo Movers,31000,30000,Accept,69292515045531,30000,64870001749,,Master Cargo Movers
07-JAN-26,07-JAN-26,13422514000534,1342,JAMALPUR-HARYANA,3501,INDORE-MADHYA PRADESH,64870003406,DN Logistics,DN Logistics,29000,28000,Accept,69292515045249,28000,64870003406,DN Logistics,DN Logistics
07-JAN-26,07-JAN-26,13222514000318,1322,MANESAR-HARYANA,1501,GOA,13900000421,LALIT KR.,SHREE KISRHNA TAMPO TRNASPORT,62000,58500,Accept,69292515045192,58500,13900000421,LALIT KR.,SHREE KISRHNA TAMPO TRNASPORT
07-JAN-26,07-JAN-26,1152514001611,1921,RAJPURA,2501,NAGPUR,64870003750,,Bhumika container services ,60000,58000,Accept,69292515045315,58000,64870003750,,Bhumika container services 
07-JAN-26,08-JAN-26,13382514001051,1338,HODAL HUB HARYANA,502,JIGNI-KARNATAKA,13900000001,MANOJ,SUPER INDIA TRANSPORT COMPANY,103000,102000,Accept,69292515045239,102000,13900000001,MANOJ,SUPER INDIA TRANSPORT COMPANY
07-JAN-26,07-JAN-26,13582514000184,1358,KARNAL-HARYANA,1393,KHARKHODA  SONIPAT,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,10000,9000,Accept,69292515045191,9000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
07-JAN-26,07-JAN-26,1152514001617,103,AMBALA HUB-HARYANA,1413,NAJAFGARH,64870003317,TENDER TRUCK PVT LTD,TENDER TRUCK PVT LTD,9000,8500,Accept,69292515045547,8500,64870003317,TENDER TRUCK PVT LTD,TENDER TRUCK PVT LTD
07-JAN-26,07-JAN-26,13102514000693,1312,GREATER NOIDA-UTTAR PRADESH,1018,VELLORE,13900000972,VIKASH SHARMA ATTRI,SOUTH CARGO ROADLINE,88000,88000,Accept,69292515045275,88000,13900000972,VIKASH SHARMA ATTRI,SOUTH CARGO ROADLINE
07-JAN-26,07-JAN-26,13932514001089,1393,KHARKHODA  SONIPAT,1601,HYDERABAD-TELANGANA,64870000133,Can Pack Logistics,Can Pack Logistics,72000,69000,Accept,69292515045196,69000,64870000133,Can Pack Logistics,Can Pack Logistics
07-JAN-26,07-JAN-26,13932514001092,1393,KHARKHODA  SONIPAT,103,AMBALA HUB-HARYANA,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,15000,13000,Accept,69292515045212,13000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
07-JAN-26,08-JAN-26,25012514001808,2501,NAGPUR,2601,PITHAMPUR-MADHYA PRADESH,25010000128,SRB,SRB INDIA  LOGSTICS,18000,17500,Accept,69292515045764,17500,25010000128,SRB,SRB INDIA  LOGSTICS
07-JAN-26,07-JAN-26,25012514001806,2501,NAGPUR,3501,INDORE-MADHYA PRADESH,25010000128,SRB,SRB INDIA  LOGSTICS,16000,15500,Accept,69292515045785,15500,25010000128,SRB,SRB INDIA  LOGSTICS
07-JAN-26,07-JAN-26,24012514000592,2401,NASIK-MAHARASTRA,529,BIDADI KARNATAKA,64870002070,SANDEEP KUMAR,QUICK CONTAINER SERVICE,64500,62000,Accept,69292515045217,62000,64870002070,SANDEEP KUMAR,QUICK CONTAINER SERVICE
